XCoord	YCoord	V	A	T	DeltaV	DeltaA
565932.90	1856535.56	1972.81	-0.0091422	0.024		191.584	0.087	
565932.90	1856535.56	2225.93	0.00249331	0.760184		259.142	0.087	
565932.90	1856535.56	2486.25	0	1.12218		283.962	0.52	
565932.90	1856535.56	3133.34	0	1.87202		641.958	0.52	
565932.90	1856535.56	3864.41	0	2.352		876.068	0.52	
565932.90	1856535.56	5849.6	0	3.93513		1512.02	0.52	
564792.95	1854993.27	1965.6	-0.000831105	0.0258568		249.25	0.087	
564792.95	1854993.27	2315.18	-0.00415554	0.734333		289.874	0.087	
564792.95	1854993.27	2478.81	0	1.07564		309.776	0.087	
564792.95	1854993.27	3150.4	0	1.86211		574.395	0.52	
564792.95	1854993.27	3688.13	0	2.308		724.313	0.52	
564792.95	1854993.27	4850.34	0	3.064		1179.78	0.52	
564792.95	1854993.27	5928	0	3.97628		1512.96	0.52	
563317.72	1853518.04	1933.62	-0.00498665	0.024		281.484	0.087	
563317.72	1853518.04	2322.62	-0.00249331	0.786089		303.777	0.087	
563317.72	1853518.04	2516	0	1.04984		311.462	0.087	
563317.72	1853518.04	3014.33	0	1.89282		534.046	0.52	
563317.72	1853518.04	3634.7	0	2.308		655.791	0.52	
563317.72	1853518.04	4888.14	0	3.064		1216.61	0.52	
563317.72	1853518.04	5748.8	0	3.96085		1514.88	0.52	
567810.47	1857742.56	1943.29	0	0.0206853		188.132	0.087	
567810.47	1857742.56	2032.54	0.00166223	0.315451		210.953	0.087	
567810.47	1857742.56	2232	-0.00332446	0.776738		287.178	0.087	
567810.47	1857742.56	2388.8	0	0.982496		320.638	0.087	
567810.47	1857742.56	2601.6	0	1.33229		377.521	0.52	
567810.47	1857742.56	2954.83	0	1.94442		424.841	0.52	
567810.47	1857742.56	3341.6	0	2.35295		458.878	0.52	
567810.47	1857742.56	6035.95	0	3.968		1507.49	0.52	
569285.70	1858480.18	1896.58	0.00166222	0.024		151.35	0.087	
569285.70	1858480.18	2232	0.00166221	0.807602		196.23	0.087	
569285.70	1858480.18	2338.71	0	0.998		207.135	0.087	
569285.70	1858480.18	2792	0	1.72837		341.651	0.52	
569285.70	1858480.18	3311.85	0	2.358		460.69	0.52	
569285.70	1858480.18	5883.2	0	3.96085		1458.21	0.52	
571565.61	1859754.24	1870.74	0	0.024		210.125	0.087	
571565.61	1859754.24	2176	0.00166221	0.771594		198.553	0.087	
571565.61	1859754.24	2282.43	0	0.946		195.951	0.087	
571565.61	1859754.24	2932.52	0	1.98046		358.253	0.52	
571565.61	1859754.24	3742.46	0	2.332		802.303	0.52	
571565.61	1859754.24	5961.6	0	3.96085		1585.53	0.52	
574180.79	1861229.48	1920.7	0	0		240.651	0.087	
574180.79	1861229.48	2299.68	0.00616906	0.782		243.053	0.087	
574180.79	1861229.48	2298.97	0	0.983782		243.673	0.087	
574180.79	1861229.48	2394.57	0	1.302		244.651	0.52	
574180.79	1861229.48	2786.4	0.00249332	1.9187		352.8	0.52	
574180.79	1861229.48	3763.56	0	2.348		1030.95	0.52	
574180.79	1861229.48	5778.46	0	3.962		1514.24	0.52	
573040.84	1860491.86	1896.55	-0.000831109	0		229.356	0.087	
573040.84	1860491.86	2144.11	0.00166223	0.806675		241.146	0.087	
573040.84	1860491.86	2218.49	0	1.01351		243.89	0.087	
573040.84	1860491.86	2404.43	0	1.29275		248.125	0.52	
573040.84	1860491.86	2843.26	0	1.92361		351.055	0.52	
573040.84	1860491.86	3776.65	0	2.348		945.176	0.52	
